time,open,high,low,close,Volume
2024-04-22T21:55:00+02:00,5006.92,5010.99,5004.94,5010.99,NaN
2024-04-22T22:00:00+02:00,5011.03,5011.03,5010.59,5010.59,NaN
2024-04-23T15:30:00+02:00,5028.85,5035.77,5027.96,5029.66,NaN
2024-04-23T15:35:00+02:00,5029.56,5034.18,5029.25,5033.63,NaN
2024-04-23T15:40:00+02:00,5033.5,5038.6,5032.23,5034.54,NaN
2024-04-23T15:45:00+02:00,5037.78,5047.88,5037.78,5044.01,NaN
2024-04-23T15:50:00+02:00,5043.88,5047.46,5038.83,5047.38,NaN
2024-04-23T15:55:00+02:00,5047.36,5051.79,5045.82,5047.49,NaN
2024-04-23T16:00:00+02:00,5047.52,5048.23,5043.42,5046.76,NaN
2024-04-23T16:05:00+02:00,5046.8,5052.56,5046.53,5049.48,NaN
2024-04-23T16:10:00+02:00,5049.56,5052.66,5047.89,5049.17,NaN
2024-04-23T16:15:00+02:00,5049.22,5053,5048.69,5052.79,NaN
2024-04-23T16:20:00+02:00,5052.59,5055.74,5050.37,5052.64,NaN
2024-04-23T16:25:00+02:00,5052.61,5059.97,5051.16,5059.6,NaN
2024-04-23T16:30:00+02:00,5059.56,5066.83,5059.56,5066.08,NaN
2024-04-23T16:35:00+02:00,5066.18,5066.18,5060.01,5061.21,NaN
2024-04-23T16:40:00+02:00,5061.13,5064.12,5060.81,5062.42,NaN
2024-04-23T16:45:00+02:00,5062.52,5062.52,5058.89,5061.16,NaN
2024-04-23T16:50:00+02:00,5061.19,5064.07,5059.79,5063.95,NaN
2024-04-23T16:55:00+02:00,5063.93,5068.65,5063.03,5067.62,NaN
2024-04-23T17:00:00+02:00,5067.69,5068.82,5057.13,5058.33,NaN
2024-04-23T17:05:00+02:00,5058.29,5059.74,5056.82,5057.12,NaN
2024-04-23T17:10:00+02:00,5057.21,5064.06,5057.21,5063.92,NaN
2024-04-23T17:15:00+02:00,5064.31,5064.87,5063.26,5064.47,NaN
2024-04-23T17:20:00+02:00,5064.42,5067.06,5063.85,5066.94,NaN
2024-04-23T17:25:00+02:00,5067,5067.31,5064.44,5064.46,NaN
2024-04-23T17:30:00+02:00,5064.53,5065.88,5060.82,5062.6,NaN
2024-04-23T17:35:00+02:00,5062.56,5065.51,5060.77,5064.34,NaN
2024-04-23T17:40:00+02:00,5064.45,5064.84,5060.88,5062.19,NaN
2024-04-23T17:45:00+02:00,5062.3,5062.46,5059.11,5060.48,NaN
2024-04-23T17:50:00+02:00,5060.54,5062.63,5058.87,5061.8,NaN
2024-04-23T17:55:00+02:00,5061.88,5062.75,5058.78,5059.12,NaN
2024-04-23T18:00:00+02:00,5059.18,5062.81,5058.44,5062.6,NaN
2024-04-23T18:05:00+02:00,5062.78,5065.48,5061.86,5065.3,NaN
2024-04-23T18:10:00+02:00,5065.31,5066.7,5063.35,5066.59,NaN
2024-04-23T18:15:00+02:00,5066.71,5069.41,5065.52,5067.15,NaN
2024-04-23T18:20:00+02:00,5067.1,5067.89,5066.64,5067.72,NaN
2024-04-23T18:25:00+02:00,5067.7,5069.67,5066.04,5068.88,NaN
2024-04-23T18:30:00+02:00,5068.99,5070.64,5068.29,5070.38,NaN
2024-04-23T18:35:00+02:00,5070.39,5071.09,5067.69,5070.8,NaN
2024-04-23T18:40:00+02:00,5070.69,5071.62,5069.59,5070.36,NaN
2024-04-23T18:45:00+02:00,5070.4,5071.37,5069.65,5070.47,NaN
2024-04-23T18:50:00+02:00,5070.46,5071.02,5068.44,5068.47,NaN
2024-04-23T18:55:00+02:00,5068.43,5068.75,5065.45,5067.89,NaN
2024-04-23T19:00:00+02:00,5067.81,5068.57,5065.14,5068.4,NaN
2024-04-23T19:05:00+02:00,5068.5,5071.3,5068.02,5068.69,NaN
2024-04-23T19:10:00+02:00,5068.7,5069.11,5062.74,5064.14,NaN
2024-04-23T19:15:00+02:00,5064.22,5065.61,5062.08,5065.37,NaN
2024-04-23T19:20:00+02:00,5065.41,5068.56,5065.41,5066.69,NaN
2024-04-23T19:25:00+02:00,5066.65,5069.36,5065.66,5069.26,NaN
2024-04-23T19:30:00+02:00,5069.3,5069.43,5067.41,5069.16,NaN
2024-04-23T19:35:00+02:00,5069.17,5070.45,5067.85,5070.31,NaN
2024-04-23T19:40:00+02:00,5070.37,5074.58,5070.06,5073.09,NaN
2024-04-23T19:45:00+02:00,5073.18,5074.85,5071.54,5074.16,NaN
2024-04-23T19:50:00+02:00,5074.23,5075.65,5073.26,5074.87,NaN
2024-04-23T19:55:00+02:00,5074.84,5075.97,5074.72,5075.57,NaN
2024-04-23T20:00:00+02:00,5075.64,5076.05,5074.17,5074.54,NaN
2024-04-23T20:05:00+02:00,5074.57,5075.98,5073.47,5074.03,NaN
2024-04-23T20:10:00+02:00,5074,5075.63,5071.17,5072.84,NaN
2024-04-23T20:15:00+02:00,5072.96,5074.55,5072.46,5073.6,NaN
2024-04-23T20:20:00+02:00,5073.64,5076.12,5073.64,5075.3,NaN
2024-04-23T20:25:00+02:00,5075.33,5075.98,5074.03,5075.08,NaN
2024-04-23T20:30:00+02:00,5075.06,5075.42,5072.17,5074.07,NaN
2024-04-23T20:35:00+02:00,5074.05,5075.36,5073.6,5074.22,NaN
